Season_team,IP,K/9,BB/9,HR/9,BABIP,LOB%,ERA,FIP,pWAR,PA,AVG,OBP,SLG,wOBA,BsR,Off,Def,WAR,Wins
2023WSN,1428.1,7.718790532,3.73022367,1.543758106,0.3047871061,0.725,5.021939636,5.151656985,5.514468091,6085,0.254,0.314,0.396,0.3090396741,0.7643654048,-60.023,-51.914,9.504,71.000
2023TOR,1451.2,9.473,3.025486187,1.227553822,0.2949790795,0.754,3.788057501,4.059631838,18.60847398,6220,0.256,0.329,0.417,0.3239746534,-12.432,39.55637661,7.602,25.77584964,89.000
2023TEX,1436.1,8.465306588,3.076584408,1.240659293,0.2883341824,0.726,4.279647964,4.314682668,15.19158214,6306,0.263,0.337,0.452,0.3396939927,-9.593,96.96664774,22.35222607,33.26294905,90.000
2023TBR,1442,9.405682081,2.739943221,1.104715148,0.2838760504,0.724,3.869623683,3.804970273,20.59462965,6164,0.26,0.331,0.445,0.3352108219,14.75253242,147.2500215,-26.712,32.90346686,99.000
2023STL,1428.1,7.655774989,3.339556168,1.127887838,0.319645357,0.694,4.83290487,4.428435299,14.01821811,6204,0.25,0.326,0.416,0.3222091211,-6.406,20.25891226,-44.045,18.69858623,71.000
2023SFG,1434.2,8.525327225,2.52811396,1.085,0.303000248,0.707,4.021144041,3.919305834,14.50193762,6095,0.235,0.312,0.383,0.3041780696,0.5976098413,-53.459,4.27647358,15.79592867,79.000
2023SEA,1449.1,9.060025365,2.614304783,1.142594014,0.2872586873,0.736,3.738269547,3.881534668,20.11077433,6201,0.242,0.321,0.413,0.3192700683,-1.604,47.91085692,4.017414228,26.18716659,88.000
2023SDP,1441,9.025,3.47883595,1.08674588,0.2861618799,0.756,3.734908255,4.137066711,18.09528552,6180,0.244,0.329,0.413,0.3232176791,5.497131924,59.33669095,-8.37,26.07131056,82.000
2023PIT,1430,8.578322124,3.751049146,1.126573485,0.2988305549,0.701,4.613,4.396298683,11.7167474,6089,0.239,0.315,0.392,0.3084180053,1.245826096,-71.547,-2.462,13.29997271,76.000
2023PHI,1442.1,9.072795932,2.932746966,1.154379125,0.28969573,0.712,4.030967106,3.996199813,24.44779449,6207,0.256,0.327,0.438,0.329,2.65338158,44.86088781,-51.312,20.43745866,90.000
2023OAK,1419.2,8.241371449,4.39962445,1.350317014,0.3068432671,0.681,5.484,5.051940615,1.693434363,5966,0.223,0.298,0.37,0.2931675199,-6.217,-86.3,-49.338,6.687232131,50.000
2023NYY,1439.2,8.99583354,3.175735537,1.219032342,0.2796676188,0.733,3.969669422,4.252,13.38122334,5973,0.227,0.304,0.397,0.3044883007,-15.072,-56.243,0.2393238619,14.65194823,82.000
2023NYM,1416.1,8.87714883,3.78089016,1.207343076,0.2965176715,0.735,4.295599577,4.46661925,10.433,6056,0.238,0.316,0.407,0.3149904358,7.77345755,13.60370149,-29.679,18.96484956,75.000
2023MIN,1451.1,9.674,2.747129283,1.203031785,0.292,0.747,3.869545536,3.888939792,19.66443303,6219,0.243,0.326,0.428,0.3266612492,-0.963,64.22,-27.167,24.76475358,87.000
2023MIL,1443,8.887731439,3.074843227,1.234926895,0.267435763,0.752,3.729728702,4.213459577,15.86401231,6084,0.24,0.319,0.385,0.309,0.4320079042,-60.952,44.39017076,19.01146923,92.000
2023MIA,1435.1,9.342770933,3.222942456,1.197630368,0.3003921569,0.725,4.213652394,4.131490728,17.4759937,6043,0.259,0.316,0.405,0.3121733317,-15.505,-60.724,-42.856,10.19497357,84.000
2023LAD,1446.1,8.637015264,2.825075598,1.244526695,0.2777350756,0.726,4.057157026,4.226462109,16.77006473,6333,0.257,0.34,0.455,0.3411892524,6.105114284,133.9630197,-4.448,34.42354494,100.000
2023LAA,1431.2,9.083814142,3.998135498,1.313852703,0.3017570665,0.706,4.639345908,4.651313967,11.34356655,6145,0.245,0.317,0.426,0.3199747351,-7.956,0.7966990895,-47.524,16.15977125,73.000
2023KCR,1409,8.112133622,3.532291254,1.322213905,0.3027750248,0.678,5.167492993,4.695067802,7.585120497,5985,0.244,0.303,0.398,0.3029037851,5.107,-89.493,-0.093,11.34383827,56.000
2023HOU,1445.1,9.091326551,3.343864629,1.251614135,0.2895491269,0.746,3.941650484,4.31292712,15.15635899,6253,0.259,0.331,0.437,0.3316407475,-8.734,79.57959209,-18.893,27.23666918,90.000
2023DET,1442.1,8.574,2.970185963,1.166858771,0.284244857,0.698,4.243122805,4.12931731,14.47931201,6080,0.236,0.305,0.382,0.2998401724,3.905038241,-79.354,-23.359,10.35680257,78.000
2023COL,1414,7.185996693,3.729844165,1.489391697,0.3188507358,0.676,5.683875152,5.235237771,5.881931918,6055,0.249,0.31,0.405,0.3098441711,-19.885,-185.718,-14.864,0.5628816822,59.000
2023CLE,1444,8.171053483,3.328255194,1.07825496,0.2893251534,0.732,3.97022202,4.212103694,14.63945122,6096,0.25,0.313,0.381,0.3015156533,8.079331913,-48.222,-7.565,15.09023043,76.000
2023CIN,1439.1,8.635248394,3.833024812,1.388142754,0.300024919,0.718,4.833488058,4.787693995,14.24491329,6195,0.249,0.327,0.42,0.324639467,12.72093511,-5.509,-61.627,14.34534706,82.000
2023CHW,1431.2,9.240975938,4.111291336,1.345284932,0.2990702479,0.702,4.878,4.705796271,10.04202033,5980,0.238,0.291,0.384,0.2924773657,-4.671,-128.118,-41.507,3.345617325,61.000
2023CHC,1435.1,8.634231037,3.216674308,1.122387332,0.2907388664,0.715,4.094519148,4.163539622,16.90811875,6220,0.254,0.33,0.421,0.3257696796,14.78346349,48.87959089,-11.592,24.84314087,83.000
2023BOS,1430,8.95593868,3.12797015,1.309090123,0.3052817791,0.716,4.518878406,4.372521729,13.80510851,6174,0.258,0.324,0.424,0.3236912915,-10.562,-16.353,-57.166,13.58631633,78.000
2023BAL,1453.2,8.859659592,2.928454918,1.09584888,0.2926150733,0.735,3.906670302,3.975287075,18.18643993,6123,0.255,0.321,0.421,0.3204567906,13.31344756,53.02593252,-29.155,23.12504219,101.000
2023ATL,1440,9.474997949,3.337499278,1.168749747,0.3014629049,0.73,4.137499104,4.096011923,16.64667354,6249,0.276,0.344,0.501,0.3593281314,11.40768883,202.3843696,-17.487,39.66088258,104.000
2023ARI,1435.1,8.471204117,3.291918698,1.235253302,0.296054285,0.71,4.483279751,4.354436223,12.99876035,6124,0.25,0.322,0.408,0.3169703776,8.861,-11.057,0.006,19.69684637,84.000
